数据处理地,组织机构代码,单位详细名称,1-本月;营业收入;千元,上年同期;营业收入;千元,1-本月;营业成本;千元,上年同期;营业成本;千元,1-本月;营业税金及附加;千元,上年同期;营业税金及附加;千元,1-本月;销售费用;千元,上年同期;销售费用;千元,1-本月;管理费用;千元,上年同期;管理费用;千元,1-本月;管理费用;税金;千元,上年同期;管理费用;税金;千元,1-本月;财务费用;千元,上年同期;财务费用;千元,1-本月;投资收益;千元,上年同期;投资收益;千元,1-本月;营业利润;千元,上年同期;营业利润;千元,1-本月;利润总额;千元,上年同期;利润总额;千元,1-本月;应付职工薪酬;千元,上年同期;应付职工薪酬;千元,1-本月;应交增值税;千元,上年同期;应交增值税;千元,1-本月;从事服务业活动的从业人员平均人数;人,上年同期;从事服务业活动的从业人员平均人数;人
429021000000,074078062,湖北合众运输有限责任公司,8417,7212,6311,5614,77,28,0,0,2262,1860,106,74,62,19,0,0,-295,-89,-295,-89,546,420,249,110,23,22
429021000000,565484903,湖北神农文化旅游有限公司,14390,9904,78,202,101,459,4996,3968,0,0,0,0,-1,-1,0,0,9216,5276,9218,5276,1330,1130,383,0,26,30
429021000000,667675663,湖北神农架中和旅游有限公司,18548,8907,10464,9137,165,327,137,138,3497,3257,0,0,2263,1966,0,0,2022,-5912,2931,-4509,4446,3404,592,314,105,120
429021000000,707087226,神农架林区邮政局,7303,6546,7591,8194,18,17,0,0,1776,2304,0,0,0,0,0,0,-2084,-1648,-1729,-1672,2876,3051,76,238,49,50
429021000000,760689808,中国电信股份有限公司神农架林区分公司,17878,15864,16929,14201,31,27,2174,2154,2068,1902,111,109,19,15,0,0,-3427,-2541,-3445,-2625,4520,4052,317,226,69,69
429021102001,066128568,神农架神兴旅行社有限公司,17188,14552,16540,13783,31,43,477,445,235,261,0,0,8,2,0,0,-104,17,-101,23,602,493,6,0,16,16
429021102001,68849161X,湖北神农架官门山旅游有限责任公司,17674,6037,71,154,83,414,9184,3330,0,0,0,0,-1,-1,0,0,8336,2140,8319,2140,2473,2055,490,2,42,56
429021102207,688491636,湖北神农架神农顶旅游有限公司,40584,27002,66,637,232,496,15404,11679,0,0,0,0,-1,-1,0,0,24883,14191,24892,14184,4705,3622,1096,11,75,89
429021103200,565484970,湖北天燕旅游有限公司,9779,7682,1111,468,243,485,6027,4583,0,0,0,0,-1,-1,0,0,2399,2147,2403,2147,1495,1224,162,0,26,19
429021103201,559733870,湖北神农架天怡旅游发展有限公司,18745,15229,16021,13206,766,813,338,905,4044,1623,58,25,4154,3459,0,0,2135,906,2573,1332,3389,2645,0,0,22,24
429021105200,097274357,湖北神农架大九湖湿地公园旅游有限公司,15756,20366,0,0,54,611,7464,16481,0,0,0,0,-1,-10,0,0,8238,3283,8237,3283,1680,1410,455,0,26,28
