数据处理地,组织机构代码,单位详细名称,1-本月;营业收入;千元,上年同期;营业收入;千元,1-本月;营业成本;千元,上年同期;营业成本;千元,1-本月;营业税金及附加;千元,上年同期;营业税金及附加;千元,1-本月;销售费用;千元,上年同期;销售费用;千元,1-本月;管理费用;千元,上年同期;管理费用;千元,1-本月;管理费用;税金;千元,上年同期;管理费用;税金;千元,1-本月;财务费用;千元,上年同期;财务费用;千元,1-本月;投资收益;千元,上年同期;投资收益;千元,1-本月;营业利润;千元,上年同期;营业利润;千元,1-本月;利润总额;千元,上年同期;利润总额;千元,1-本月;应付职工薪酬;千元,上年同期;应付职工薪酬;千元,1-本月;应交增值税;千元,上年同期;应交增值税;千元,1-本月;从事服务业活动的从业人员平均人数;人,上年同期;从事服务业活动的从业人员平均人数;人
429021000000,074078062,湖北合众运输有限责任公司,2413,1342,1843,1124,7,4,0,0,857,284,84,72,12,4,0,0,-306,74,-306,74,202,68,67,52,23,23
429021000000,565484903,湖北神农文化旅游有限公司,116,216,78,89,6,11,120,289,0,0,0,0,0,0,0,0,-88,-173,-88,-173,125,199,0,0,30,30
429021000000,667675663,湖北神农架中和旅游有限公司,1958,1608,1851,2100,78,62,41,43,1087,966,0,0,426,596,0,0,-1526,-2159,-1082,-2155,950,923,11,14,102,50
429021000000,707087226,神农架林区邮政局,2657,2377,2621,2495,14,9,0,0,430,905,0,0,0,0,0,0,-409,-118,-419,-118,1247,1438,46,43,50,49
429021000000,760689808,中国电信股份有限公司神农架林区分公司,5312,4607,4727,4112,17,11,609,776,486,496,34,31,7,6,0,0,-554,-803,-547,-912,1138,1121,166,199,69,31
429021100200,063523554,神农架林区大成通和物流有限公司,54,900,50,932,0,9,0,0,11,41,0,0,0,0,0,0,-7,-82,-7,-82,22,225,6,98,8,25
429021102001,066128568,神农架神兴旅行社有限公司,2973,4578,2780,4437,26,8,87,92,73,62,0,0,0,0,0,0,6,-22,7,-16,215,123,0,0,14,16
429021102001,68849161X,湖北神农架官门山旅游有限责任公司,963,1163,21,21,61,61,808,808,0,0,0,0,0,0,0,0,73,273,73,273,474,474,0,0,43,43
429021102207,688491636,湖北神农架神农顶旅游有限公司,2473,2473,66,66,32,32,4387,4387,0,0,0,0,225,225,0,0,-2237,-2237,-2242,-2242,993,993,0,0,104,104
429021103200,565484970,湖北天燕旅游有限公司,1863,3172,128,428,102,132,984,1295,0,0,0,0,0,391,0,0,649,926,649,926,176,296,0,0,35,35
429021103201,559733870,湖北神农架天怡旅游发展有限公司,18704,15056,4327,4183,766,805,285,328,1625,255,5,1,1113,1398,0,0,-2227,-459,-2217,-450,2256,1721,0,0,98,63
429021105200,097274357,湖北神农架大九湖湿地公园旅游有限公司,863,863,0,0,6,6,706,706,0,0,0,0,-1,-1,0,0,158,158,158,158,200,200,0,0,32,32
