数据处理地,组织机构代码,单位详细名称,1-本月;营业收入;千元,上年同期;营业收入;千元,1-本月;营业成本;千元,上年同期;营业成本;千元,1-本月;营业税金及附加;千元,上年同期;营业税金及附加;千元,1-本月;销售费用;千元,上年同期;销售费用;千元,1-本月;管理费用;千元,上年同期;管理费用;千元,1-本月;管理费用;税金;千元,上年同期;管理费用;税金;千元,1-本月;财务费用;千元,上年同期;财务费用;千元,1-本月;投资收益;千元,上年同期;投资收益;千元,1-本月;营业利润;千元,上年同期;营业利润;千元,1-本月;利润总额;千元,上年同期;利润总额;千元,1-本月;应付职工薪酬;千元,上年同期;应付职工薪酬;千元,1-本月;应交增值税;千元,上年同期;应交增值税;千元,1-本月;从事服务业活动的从业人员平均人数;人,上年同期;从事服务业活动的从业人员平均人数;人
429021000000,074078062,湖北合众运输有限责任公司,4835,3392,3566,2445,57,10,0,0,1667,995,100,73,24,81,0,95,-479,-135,-479,-38,451,295,145,102,22,22
429021000000,565484903,湖北神农文化旅游有限公司,4087,2171,78,202,71,62,2281,2816,0,0,0,0,-1,0,0,0,1658,-909,1659,-909,829,448,42,0,24,30
429021000000,667675663,湖北神农架中和旅游有限公司,6419,2774,3920,4389,121,90,82,84,2173,1978,0,0,1332,1188,0,0,-1209,-4955,-1209,-4936,2491,1887,53,91,107,110
429021000000,707087226,神农架林区邮政局,4803,4671,4690,5331,18,14,0,0,925,1461,0,0,0,0,0,0,-831,-660,-846,-738,1958,2608,69,165,50,49
429021000000,760689808,中国电信股份有限公司神农架林区分公司,10665,9364,9959,8281,22,18,1083,1501,1137,1074,63,63,10,9,0,0,-1598,-1580,-1729,-1666,2675,2319,221,132,69,67
429021100200,063523554,神农架林区大成通和物流有限公司,212,4713,198,4491,4,52,0,0,30,201,0,0,2,1,0,0,-22,-32,-22,-32,35,1237,23,518,8,52
429021102001,066128568,神农架神兴旅行社有限公司,7820,6329,7356,5884,29,25,298,222,148,170,0,0,2,1,0,0,-13,24,-11,30,366,276,0,0,16,16
429021102001,68849161X,湖北神农架官门山旅游有限责任公司,3684,1163,33,21,61,61,4957,808,0,0,0,0,-1,0,0,0,-1366,273,-1393,273,1531,1051,50,0,43,54
429021102207,688491636,湖北神农架神农顶旅游有限公司,9893,2473,66,66,159,32,7825,4387,0,0,0,0,-1,225,0,0,1844,-2237,1852,-2242,2735,2251,98,0,78,104
429021103200,565484970,湖北天燕旅游有限公司,5196,4032,1019,428,229,201,2642,2053,0,0,0,0,-1,0,0,0,1307,1349,1311,2110,1040,682,24,0,19,35
429021103201,559733870,湖北神农架天怡旅游发展有限公司,18706,15072,14255,9418,766,806,327,424,4044,475,16,6,4297,2764,0,0,4050,4850,4077,4930,2778,2166,0,0,30,24
429021105200,097274357,湖北神农架大九湖湿地公园旅游有限公司,2611,863,0,0,24,6,3788,706,0,0,0,0,-1,-1,0,0,-1200,158,-1200,158,926,200,31,0,31,32
