数据处理地,组织机构代码,单位详细名称,1-本月;营业收入;千元,上年同期;营业收入;千元,1-本月;营业成本;千元,上年同期;营业成本;千元,1-本月;营业税金及附加;千元,上年同期;营业税金及附加;千元,1-本月;销售费用;千元,上年同期;销售费用;千元,1-本月;管理费用;千元,上年同期;管理费用;千元,1-本月;管理费用;税金;千元,上年同期;管理费用;税金;千元,1-本月;财务费用;千元,上年同期;财务费用;千元,1-本月;投资收益;千元,上年同期;投资收益;千元,1-本月;营业利润;千元,上年同期;营业利润;千元,1-本月;利润总额;千元,上年同期;利润总额;千元,1-本月;应付职工薪酬;千元,上年同期;应付职工薪酬;千元,1-本月;应交增值税;千元,上年同期;应交增值税;千元,1-本月;从事服务业活动的从业人员平均人数;人,上年同期;从事服务业活动的从业人员平均人数;人
429021000000,074078062,湖北合众运输有限责任公司,9203,7837,6845,6046,79,28,0,0,2343,2060,107,74,70,0,0,0,-134,-312,-134,-312,568,515,251,24,23,22
429021000000,565484903,湖北神农文化旅游有限公司,14963,10106,78,202,101,459,5108,4140,0,0,0,0,-1,-1,0,0,9675,5305,9677,5305,1444,1233,400,0,25,30
429021000000,667675663,湖北神农架中和旅游有限公司,19433,9636,10962,9006,168,354,150,152,3993,3556,0,0,2505,2181,0,0,1655,-5613,2606,0,4828,3764,619,0,110,110
429021000000,707087226,中国邮政集团公司神农架林区分公司,8136,6991,8657,9158,18,17,0,0,2062,2571,0,0,1,0,0,0,-2602,-2167,-2248,-2070,3154,4205,76,238,49,50
429021000000,760689808,中国电信股份有限公司神农架林区分公司,19638,17342,18778,15826,32,29,2445,2385,2298,2240,118,118,20,20,0,0,-4033,-3270,-4051,-3352,5428,4410,330,247,69,69
429021102001,066128568,神农架神兴旅行社有限公司,19332,15718,18545,14928,32,45,511,487,255,298,0,0,8,2,0,0,-19,-42,-17,-36,662,543,8,0,16,16
429021102001,68849161X,湖北神农架官门山旅游有限责任公司,18288,17674,71,154,95,414,10538,9779,0,0,0,0,-1,-1,0,0,7584,7328,7568,7311,2676,2256,509,3,41,60
429021102207,688491636,湖北神农架神农顶旅游有限公司,42219,42669,66,793,259,1474,16432,36600,0,0,0,0,-1,2946,0,0,25463,857,25476,707,5038,4739,1145,14,72,97
429021103201,559733870,湖北神农架天怡旅游发展有限公司,18745,15243,17043,15669,766,813,345,958,4044,1997,60,27,4155,3828,0,0,1541,-425,1978,1,3497,2740,0,0,22,24
429021105200,097274357,湖北神农架大九湖湿地公园旅游有限公司,16204,22366,0,0,65,749,8627,20481,0,0,0,0,-1,-14,0,0,7513,1148,7512,1140,1815,1525,468,0,27,30
429021105201,MA4887LAX,神农架大九湖旅游客运有限公司,16017,0,8095,0,0,0,0,0,10743,0,0,0,121,0,0,0,-2942,0,-2942,0,3495,0,0,0,84,0
