数据处理地,组织机构代码,单位详细名称,1-本月;营业收入;千元,上年同期;营业收入;千元,1-本月;营业成本;千元,上年同期;营业成本;千元,1-本月;营业税金及附加;千元,上年同期;营业税金及附加;千元,1-本月;销售费用;千元,上年同期;销售费用;千元,1-本月;管理费用;千元,上年同期;管理费用;千元,1-本月;管理费用;税金;千元,上年同期;管理费用;税金;千元,1-本月;财务费用;千元,上年同期;财务费用;千元,1-本月;投资收益;千元,上年同期;投资收益;千元,1-本月;营业利润;千元,上年同期;营业利润;千元,1-本月;利润总额;千元,上年同期;利润总额;千元,1-本月;应付职工薪酬;千元,上年同期;应付职工薪酬;千元,1-本月;应交增值税;千元,上年同期;应交增值税;千元,1-本月;从事服务业活动的从业人员平均人数;人,上年同期;从事服务业活动的从业人员平均人数;人
429021000000,074078062,湖北合众运输有限责任公司,6624,4301,4975,3095,72,28,0,0,1941,1201,102,74,42,82,0,0,-406,-136,-406,-39,483,302,199,110,22,22
429021000000,565484903,湖北神农文化旅游有限公司,10288,2171,78,202,89,62,2696,2816,0,0,0,0,-1,0,0,0,7426,-909,7426,-909,1040,448,141,0,26,30
429021000000,667675663,湖北神农架中和旅游有限公司,14209,4855,6436,6436,150,152,109,111,2825,2615,0,0,1793,1590,0,0,2896,-5275,0,0,3363,2527,257,92,110,113
429021000000,707087226,神农架林区邮政局,5982,5794,5930,6650,18,14,0,0,1373,1917,0,0,0,0,0,0,-1341,-855,-986,-880,2413,2674,73,207,50,49
429021000000,760689808,中国电信股份有限公司神农架林区分公司,14343,12772,13154,11224,29,22,1455,1782,1591,1477,71,86,16,13,0,0,-1972,-1838,-2096,-1923,3588,3221,298,173,69,69
429021102001,066128568,神农架神兴旅行社有限公司,12668,10764,12162,10118,30,32,377,350,187,205,0,0,7,2,0,0,-94,56,-91,61,484,390,17,0,16,16
429021102001,68849161X,湖北神农架官门山旅游有限责任公司,12118,1163,71,21,61,61,6189,808,0,0,0,0,-1,0,0,0,5798,273,5781,273,1944,1051,204,0,43,54
429021102207,688491636,湖北神农架神农顶旅游有限公司,27842,14567,66,312,177,102,9209,9213,0,0,0,0,-1,240,0,0,18391,4700,18401,4700,3502,3218,434,2,85,133
429021103200,565484970,湖北天燕旅游有限公司,8032,4165,1087,468,233,287,3344,3257,0,0,0,0,-1,0,0,0,3369,153,3324,153,1231,730,83,0,28,35
429021103201,559733870,湖北神农架天怡旅游发展有限公司,18736,15183,15626,11649,766,811,330,447,4044,969,56,24,4170,2795,0,0,3110,3533,3136,3952,3199,2449,0,0,22,24
429021105200,097274357,湖北神农架大九湖湿地公园旅游有限公司,10645,863,0,0,30,6,4723,706,0,0,0,0,-1,-1,0,0,5893,158,5893,158,1248,200,197,0,27,32
