数据处理地,组织机构代码,单位详细名称,1-本月;营业收入;千元,上年同期;营业收入;千元,1-本月;营业成本;千元,上年同期;营业成本;千元,1-本月;营业税金及附加;千元,上年同期;营业税金及附加;千元,1-本月;销售费用;千元,上年同期;销售费用;千元,1-本月;管理费用;千元,上年同期;管理费用;千元,1-本月;管理费用;税金;千元,上年同期;管理费用;税金;千元,1-本月;财务费用;千元,上年同期;财务费用;千元,1-本月;投资收益;千元,上年同期;投资收益;千元,1-本月;营业利润;千元,上年同期;营业利润;千元,1-本月;利润总额;千元,上年同期;利润总额;千元,1-本月;应付职工薪酬;千元,上年同期;应付职工薪酬;千元,1-本月;应交增值税;千元,上年同期;应交增值税;千元,1-本月;从事服务业活动的从业人员平均人数;人,上年同期;从事服务业活动的从业人员平均人数;人
429021000000,074078062,湖北合众运输有限责任公司,9967,8383,7412,6448,81,29,0,0,2505,2431,107,84,73,48,0,0,-104,-257,-104,-257,574,624,272,26,23,22
429021000000,565484903,湖北神农文化旅游有限公司,15421,15821,78,202,104,476,10066,4979,0,0,0,0,-1,-1,0,0,5174,10165,5326,10311,1558,1394,413,0,24,29
429021000000,667675663,湖北神农架中和旅游有限公司,19738,11179,11897,11296,169,373,164,166,4850,4204,0,0,2731,2326,0,0,-75,-7987,1002,-5471,5833,4495,628,390,120,102
429021000000,707087226,中国邮政集团公司神农架林区分公司,8719,7611,9192,9487,18,17,0,0,2091,2777,0,0,0,0,0,0,-2583,-1876,-2226,-1319,3518,4902,77,238,50,50
429021000000,760689808,中国电信股份有限公司神农架林区分公司,21428,19031,21596,18453,146,30,3014,3578,2826,2547,151,132,25,20,0,0,-6270,-5615,-6288,-5379,6487,5788,331,270,69,69
429021102001,066128568,神农架神兴旅行社有限公司,20261,16793,19349,15826,33,53,540,533,286,360,0,0,8,-4,0,0,45,25,48,32,759,586,44,0,16,16
429021102001,68849161X,湖北神农架官门山旅游有限责任公司,18606,17674,71,253,96,482,17698,17268,0,0,0,0,-1,-1,0,0,742,-329,892,-430,2889,3572,518,3,41,60
429021102207,688491636,湖北神农架神农顶旅游有限公司,42447,42669,66,793,260,1474,35361,36600,0,0,0,0,-1,2946,0,0,6762,857,8058,707,5451,7703,1152,14,71,86
429021103201,559733870,湖北神农架天怡旅游发展有限公司,21232,17029,17043,15669,766,908,662,1004,4044,1997,61,27,4039,4186,0,0,2702,-409,3321,17,4176,2804,0,0,156,105
429021105200,097274357,湖北神农架大九湖湿地公园旅游有限公司,16225,22366,0,0,65,749,17352,20481,0,0,0,0,-2,-14,0,0,-1190,1148,-303,1140,1961,2405,468,0,28,33
429021105201,MA4887LAX,神农架大九湖旅游客运有限公司,16035,0,8780,0,0,0,0,0,11806,0,0,0,137,0,0,0,-4688,0,-4623,0,4070,0,0,0,83,0
