数据处理地,组织机构代码,单位详细名称,本月;营业额总计;千元,1-本月;营业额总计;千元,上年同期;本月;营业额总计;千元,上年同期;1-本月;营业额总计;千元,本月;营业额总计;客房收入;千元,1-本月;营业额总计;客房收入;千元,上年同期;本月;营业额总计;客房收入;千元,上年同期;1-本月;营业额总计;客房收入;千元,本月;营业额总计;客房收入;其中：通过公共网络实现的客房收入;千元,1-本月;营业额总计;客房收入;其中：通过公共网络实现的客房收入;千元,上年同期;本月;营业额总计;客房收入;其中：通过公共网络实现的客房收入;千元,上年同期;1-本月;营业额总计;客房收入;其中：通过公共网络实现的客房收入;千元,本月;营业额总计;餐费收入;千元,1-本月;营业额总计;餐费收入;千元,上年同期;本月;营业额总计;餐费收入;千元,上年同期;1-本月;营业额总计;餐费收入;千元,本月;营业额总计;餐费收入;其中：通过公共网络实现的餐费收入;千元,1-本月;营业额总计;餐费收入;其中：通过公共网络实现的餐费收入;千元,上年同期;本月;营业额总计;餐费收入;其中：通过公共网络实现的餐费收入;千元,上年同期;1-本月;营业额总计;餐费收入;其中：通过公共网络实现的餐费收入;千元,本月;营业额总计;商品销售额;千元,1-本月;营业额总计;商品销售额;千元,上年同期;本月;营业额总计;商品销售额;千元,上年同期;1-本月;营业额总计;商品销售额;千元,本月;营业额总计;其他营业收入;千元,1-本月;营业额总计;其他营业收入;千元,上年同期;本月;营业额总计;其他营业收入;千元,上年同期;1-本月;营业额总计;其他营业收入;千元
429021100001,08722863X,神农架盛景怡家酒店有限公司,476,3504,0,0,476,3504,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0
429021100001,183712456,神农架宾馆有限责任公司,582,8548,483,7550,295,5223,218,4790,,60,6,334,200,3093,265,2760,,0,0,0,65,113,0,0,22,119,0,0
429021102001,309856931,神农架康帝君兰酒店有限公司,1066,17148,527,3540,668,12504,296,2457,,247,0,0,398,4644,231,1083,,0,0,0,,0,0,0,,0,0,0
429021102001,571515091,湖北神农架旅游发展股份有限公司假日酒店,149,3828,144,3665,149,3828,144,3665,2,189,14,105,,0,0,0,,0,0,0,,0,0,0,,0,0,0
429021102001,576998838,湖北神农酒店有限公司,145,4403,43,4467,59,2767,28,2940,23,637,22,878,62,1227,12,1211,0,0,0,0,21,334,2,233,3,75,1,83
429021102001,585453928,神农架军飞翔实业有限公司,153,3365,319,3315,153,3365,319,3315,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0
429021102001,688491580,湖北神农旅游投资集团有限公司,241,5317,910,7620,117,1890,297,2335,0,0,0,0,118,1854,491,3291,0,0,0,0,3,1005,122,715,3,568,0,1279
429021102001,711913041,湖北神农架神农山庄有限责任公司,1262,35631,1493,34452,857,28075,1079,27438,11,2444,221,2896,405,7556,414,7014,,0,0,0,,0,0,0,,0,0,0
429021102001,780940617,湖北神旅酒店管理有限公司国源宾馆,122,2547,381,2725,58,1531,302,1555,0,0,0,0,61,930,79,1101,0,0,0,0,3,46,0,66,0,40,0,3
429021105200,573735717,神农架大九湖湿地公园管理局培训中心,,0,155,3088,,0,75,2114,,0,0,0,,0,80,974,,0,0,0,,0,0,0,,0,0,0
