数据处理地,组织机构代码,单位详细名称,本月;营业额总计;千元,1-本月;营业额总计;千元,上年同期;本月;营业额总计;千元,上年同期;1-本月;营业额总计;千元,本月;营业额总计;客房收入;千元,1-本月;营业额总计;客房收入;千元,上年同期;本月;营业额总计;客房收入;千元,上年同期;1-本月;营业额总计;客房收入;千元,本月;营业额总计;客房收入;其中：通过公共网络实现的客房收入;千元,1-本月;营业额总计;客房收入;其中：通过公共网络实现的客房收入;千元,上年同期;本月;营业额总计;客房收入;其中：通过公共网络实现的客房收入;千元,上年同期;1-本月;营业额总计;客房收入;其中：通过公共网络实现的客房收入;千元,本月;营业额总计;餐费收入;千元,1-本月;营业额总计;餐费收入;千元,上年同期;本月;营业额总计;餐费收入;千元,上年同期;1-本月;营业额总计;餐费收入;千元,本月;营业额总计;餐费收入;其中：通过公共网络实现的餐费收入;千元,1-本月;营业额总计;餐费收入;其中：通过公共网络实现的餐费收入;千元,上年同期;本月;营业额总计;餐费收入;其中：通过公共网络实现的餐费收入;千元,上年同期;1-本月;营业额总计;餐费收入;其中：通过公共网络实现的餐费收入;千元,本月;营业额总计;商品销售额;千元,1-本月;营业额总计;商品销售额;千元,上年同期;本月;营业额总计;商品销售额;千元,上年同期;1-本月;营业额总计;商品销售额;千元,本月;营业额总计;其他营业收入;千元,1-本月;营业额总计;其他营业收入;千元,上年同期;本月;营业额总计;其他营业收入;千元,上年同期;1-本月;营业额总计;其他营业收入;千元
429021100001,08722863X,神农架盛景怡家酒店有限公司,315,1019,0,0,315,1019,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0
429021100001,183712456,神农架宾馆有限责任公司,523,3031,685,2362,357,1788,492,1473,5,36,8,37,166,1243,193,889,,0,0,0,,0,0,0,,0,0,0
429021102001,309856931,神农架康帝君兰酒店有限公司,694,2154,0,0,511,1529,0,0,,247,0,0,183,625,0,0,,0,0,0,,0,0,0,,0,0,0
429021102001,571515091,湖北神农架旅游发展股份有限公司假日酒店,241,808,213,774,241,808,213,774,11,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
429021102001,576998838,湖北神农酒店有限公司,337,388,132,135,217,240,77,79,20,20,19,19,95,103,46,47,0,0,0,0,20,38,7,7,5,7,2,2
429021102001,585453928,神农架军飞翔实业有限公司,256,783,144,389,256,783,144,389,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0
429021102001,688491580,湖北神农旅游投资集团有限公司,453,657,51,376,230,325,10,209,0,0,0,0,199,307,40,157,0,0,0,0,24,25,1,10,0,0,0,0
429021102001,711913041,湖北神农架神农山庄有限责任公司,4356,7283,1766,6149,3230,5517,1342,4728,800,912,90,185,1126,1766,424,1421,0,0,0,0,0,0,0,0,0,0,0,0
429021102001,780940617,湖北神旅酒店管理有限公司国源宾馆,162,487,177,425,100,263,92,239,,0,0,0,60,220,84,177,,0,0,0,2,4,1,9,0,0,0,0
429021105200,573735717,神农架大九湖湿地公园管理局培训中心,,0,36,386,,0,33,233,,0,0,0,,0,3,153,,0,0,0,,0,0,0,,0,0,0
