数据处理地,组织机构代码,单位详细名称,本月;营业额总计;千元,1-本月;营业额总计;千元,上年同期;本月;营业额总计;千元,上年同期;1-本月;营业额总计;千元,本月;营业额总计;客房收入;千元,1-本月;营业额总计;客房收入;千元,上年同期;本月;营业额总计;客房收入;千元,上年同期;1-本月;营业额总计;客房收入;千元,本月;营业额总计;客房收入;其中：通过公共网络实现的客房收入;千元,1-本月;营业额总计;客房收入;其中：通过公共网络实现的客房收入;千元,上年同期;本月;营业额总计;客房收入;其中：通过公共网络实现的客房收入;千元,上年同期;1-本月;营业额总计;客房收入;其中：通过公共网络实现的客房收入;千元,本月;营业额总计;餐费收入;千元,1-本月;营业额总计;餐费收入;千元,上年同期;本月;营业额总计;餐费收入;千元,上年同期;1-本月;营业额总计;餐费收入;千元,本月;营业额总计;餐费收入;其中：通过公共网络实现的餐费收入;千元,1-本月;营业额总计;餐费收入;其中：通过公共网络实现的餐费收入;千元,上年同期;本月;营业额总计;餐费收入;其中：通过公共网络实现的餐费收入;千元,上年同期;1-本月;营业额总计;餐费收入;其中：通过公共网络实现的餐费收入;千元,本月;营业额总计;商品销售额;千元,1-本月;营业额总计;商品销售额;千元,上年同期;本月;营业额总计;商品销售额;千元,上年同期;1-本月;营业额总计;商品销售额;千元,本月;营业额总计;其他营业收入;千元,1-本月;营业额总计;其他营业收入;千元,上年同期;本月;营业额总计;其他营业收入;千元,上年同期;1-本月;营业额总计;其他营业收入;千元
429021100001,08722863X,神农架盛景怡家酒店有限公司,665,2412,0,0,665,2412,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0
429021100001,183712456,神农架宾馆有限责任公司,1169,6331,1007,5532,729,3917,659,3540,,60,119,230,395,2318,348,1992,,0,0,0,20,32,0,0,25,64,0,0
429021102001,309856931,神农架康帝君兰酒店有限公司,4223,10721,0,0,3273,7923,0,0,,247,0,0,950,2798,0,0,,0,0,0,,0,0,0,,0,0,0
429021102001,571515091,湖北神农架旅游发展股份有限公司假日酒店,1169,2797,1190,2628,1169,2797,1190,2628,48,155,40,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
429021102001,576998838,湖北神农酒店有限公司,1293,3323,1489,3268,889,2085,1005,2108,221,430,289,570,358,895,396,906,0,0,0,0,34,281,56,188,12,62,32,66
429021102001,585453928,神农架军飞翔实业有限公司,908,2412,855,2212,908,2412,855,2212,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0
429021102001,688491580,湖北神农旅游投资集团有限公司,892,3112,1329,4140,134,894,543,1224,0,0,0,0,571,1281,455,1619,0,0,0,0,187,499,83,312,0,438,248,985
429021102001,711913041,湖北神农架神农山庄有限责任公司,8302,26075,8718,24579,7119,20795,7281,19845,604,2316,671,1868,1183,5280,1437,4734,0,0,0,0,,0,0,0,,0,0,0
429021102001,780940617,湖北神旅酒店管理有限公司国源宾馆,403,1719,363,1503,234,994,102,709,0,0,0,0,164,664,250,759,0,0,0,0,5,26,11,35,0,35,0,0
429021105200,573735717,神农架大九湖湿地公园管理局培训中心,,0,540,2029,,0,402,1504,,0,0,0,,0,138,525,,0,0,0,,0,0,0,,0,0,0
